year,state_district,party,candidate,vote_pct
1976,Indiana10,democrat,Philip R. Sharp,0.5983786804840976
1976,Indiana11,democrat,"Andrew Jacobs, Jr.",0.6040634007265753
1976,Iowa1,republican,James A. S. Leach,0.5193746330561921
1976,Iowa2,democrat,Michael T. Blouin,0.5034465900757761
1976,Iowa3,republican,Charles E. Grassley,0.5645550354650662
1976,Iowa4,democrat,Neal Smith,0.6909382190191865
1976,Iowa5,democrat,Tom Harkin,0.6486424430285288
1976,Iowa6,democrat,Berkley Bedell,0.6742709669599297
1976,Kansas1,republican,Keith G. Sebelius,0.7306543034933153
1976,Kansas2,democrat,Martha Keys,0.5069455167247128
1976,Kansas3,republican,"Larry Winn, Jr.",0.6870597392488811
1976,Kansas4,democrat,Dan Glickman,0.5026957938917664
1976,Kansas5,republican,Joe Skubitz,0.6066325259515571
1976,Kentucky1,democrat,"Carroll Hubbard, Jr.",0.8199882746491016
1976,Kentucky2,democrat,William H. Natcher,0.6035441490986863
1976,Kentucky3,democrat,Romano L. Mazzoli,0.5719320184164156
1976,Kentucky4,republican,Gene Snyder,0.5586927370459938
1976,Kentucky5,republican,Tim Lee Carter,0.6659267775614229
1976,Kentucky6,democrat,John B. Breckinridge,0.9399127397842331
1976,Kentucky7,democrat,Carl D. Perkins,0.732276521404751
1976,Louisiana1,democrat,Richard A. Tonry,0.4722192435545888
1976,Louisiana2,democrat,Lindy (Mrs. Hale) Boggs,0.9256250875284131
1976,Louisiana3,republican,David C. Treen,0.7331237446511222
1976,Louisiana4,democrat,"Joe D. Waggonner, Jr.",1.0
1976,Louisiana5,democrat,Jerry Huckaby,0.5254975827211653
1976,Louisiana6,republican,W. Henson Moore,0.6521909642334239
1976,Louisiana7,democrat,John B. Breaux,0.8334826825972548
1976,Louisiana8,democrat,Gillis W. Long,0.9421510313710543
1976,Maine1,republican,David F. Emery,0.5737655148485183
1976,Maine2,republican,William S. Cohen,0.7710968494217639
1976,Maryland1,republican,Robert E. Bauman,0.5406703080950463
1976,Maryland2,democrat,Clarence D. Long,0.7090874821067431
1976,Maryland3,democrat,Barbara A. Mikulski,0.7459448909459714
1976,Maryland4,republican,Marjorie S. Holt,0.5766697169313932
1976,Maryland5,democrat,Gladys Noon Spellman,0.5770203049824676
1976,Maryland6,democrat,Goodloe E. Byron,0.7083696453710532
1976,Maryland7,democrat,Parren J. Mitchell,0.9439348921327994
1976,Maryland8,republican,"Newton I. Steers, Jr.",0.4682224428997021
1976,Massachusetts1,republican,Silvio O. Conte,0.6376615555658498
1976,Massachusetts2,democrat,Edward P. Boland,0.723576754326936
1976,Massachusetts3,democrat,Joseph D. Early,0.9997152484457311
1976,Massachusetts4,democrat,Robert F. Drinan,0.5207329568470465
1976,Massachusetts5,democrat,Paul E. Tsongas,0.6730840135721053
1976,Massachusetts6,democrat,Michael Harrington,0.5480382123680758
1976,Massachusetts7,democrat,Edward J. Markey,0.7690658368475729
1976,Massachusetts8,democrat,"Thomas P. O'Neil, Jr.",0.7443723790886217
1976,Massachusetts9,democrat,Joe Moakley,0.6955901747996599
1976,Massachusetts10,republican,Margaret M. Heckler,0.9995076149888789
1976,Massachusetts11,democrat,James A. Burke,0.6897961320038732
1976,Massachusetts12,democrat,Gerry E. Studds,0.9996134900945601
1976,Michigan1,democrat,"John Conyers, Jr.",0.9237015126444187
1976,Michigan2,republican,Carl D. Pursell,0.49753830748208494
1976,Michigan3,republican,Garry Brown,0.5058728168109381
1976,Michigan4,republican,Dave Stockman,0.600215870967024
1976,Michigan5,republican,Harold S. Sawyer,0.5334407461131826
1976,Michigan6,democrat,Bob Carr,0.5273941424863441
1976,Michigan7,democrat,Dale E. Kildee,0.6997330810555124
1976,Michigan8,democrat,Bob Traxler,0.5900756569077115
1976,Michigan9,republican,Guy A. Vander Jagt,0.6996247037448557
1976,Michigan10,republican,Elford A. Cederberg,0.564866973699235
1976,Michigan11,republican,Philip E. Ruppe,0.5475024756465467
1976,Michigan12,democrat,David E. Bonior,0.5242249829985569
1976,Michigan13,democrat,"Charles C. Diggs, Jr.",0.8900594532859415
1976,Michigan14,democrat,Lucien N. Nedzi,0.6649697524525874
1976,Michigan15,democrat,William D. Ford,0.7399116997792494
1976,Michigan16,democrat,John D. Dingell,0.7588809060519882
1976,Michigan17,democrat,William M. Brodhead,0.6421602410393398
1976,Michigan18,democrat,James J. Blanchard,0.6612046510378904
1976,Michigan19,republican,William S. Broomfield,0.6668471248956462
1976,Minnesota1,republican,Albert H. Quic,0.6824651706626742
1976,Minnesota2,republican,Tom Hagedorn,0.6034010007729548
1976,Minnesota3,republican,Bill Frenzel,0.6609316993333599
1976,Minnesota4,democrat,Bruce F. Vento,0.6644200619145659
1976,Minnesota5,democrat,Donald M. Fraser,0.7066248798543937
1976,Minnesota6,democrat,Richard Nolan,0.597901162507904
1976,Minnesota7,democrat,Bob Bergland,0.7204492875382305
1976,Minnesota8,democrat,James L. Oberstar,1.0
1976,Mississippi1,democrat,Jamie L. Whitten,1.0
1976,Mississippi2,democrat,David R. Bowen,0.6301091690231848
1976,Mississippi3,democrat,G. V. (Sonny) Montgomery,0.9394435590099629
1976,Mississippi4,republican,Thad Cochran,0.7604424359543127
1976,Mississippi5,republican,Trent Lott,0.6821200694163546
1976,Missouri1,democrat,William (Bill) Clay,0.6555592263334935
1976,Missouri2,democrat,Robert A. Young,0.5108916150362444
1976,Missouri3,democrat,Richard A. Gephardt,0.6369043666865857
1976,Missouri4,democrat,Ike Skelton,0.5586577375216805
1976,Missouri5,democrat,Richard Bolling,0.6802066054402502
1976,Missouri6,republican,E. Thomas Coleman,0.5853499208849275
1976,Missouri7,republican,Gene Taylor,0.6202019452075136
1976,Missouri8,democrat,Richard H. Ichord,0.6732164741897919
1976,Missouri9,democrat,Harold L. Volkmer,0.5592843762927568
1976,Missouri10,democrat,Bill D. Burlison,0.7207209672740409
1976,Montana1,democrat,Max Baucus,0.6644674104801411
1976,Montana2,republican,Ron Marlence,0.5495588456188243
1976,Nebraska1,republican,Charles Thone,0.7318093754369145
1976,Nebraska2,democrat,John J. Cavanaugh,0.5457373892953408
1976,Nebraska3,republican,Virginia Smith,0.7289434865668755
1976,Nevada0,democrat,Jim Santini,0.7705077978415215
1976,New Hampshire1,democrat,Norman E. D'Amours,0.6812729869440477
1976,New Hampshire2,republican,James C. Cleveland,0.6053340371798948
1976,New Jersey1,democrat,James J. Florio,0.7010025757062669
1976,New Jersey2,democrat,William J. Hughes,0.6172083180939443
1976,New Jersey3,democrat,James J. Howard,0.6211029652386697
1976,New Jersey4,democrat,"Frank Thompson, Jr.",0.6629737575204251
1976,New Jersey5,republican,Millicent II. Fenwick,0.6686025637293431
1976,New Jersey6,republican,Edwin B. Forsythe,0.5875765268030462
1976,New Jersey7,democrat,Andrew Maguire,0.5654515599343185
1976,New Jersey8,democrat,Robert A. Roe,0.7058613712417962
1976,New Jersey9,republican,Harold C. Hollenbeck,0.5310461392480132
1976,New Jersey10,democrat,"Peter W. Rodino, Jr.",0.826457504097401
1976,New Jersey11,democrat,Joseph G. Minish,0.6762085447151063
1976,New Jersey12,republican,Matthew J. Rinaldo,0.7313730096859282
