year,state_district,party,candidate,vote_pct
1994,Maryland3,democrat,Benjamin L. Cardin,0.7097104124428844
1994,Maryland4,democrat,Albert Russell Wynn,0.7503040750078536
1994,Maryland5,democrat,Steny H. Hoyer,0.5880627212948912
1994,Maryland6,republican,Roscoe G. Bartlett,0.6594834067232306
1994,Maryland7,democrat,Kweisi Mfume,0.815102963292809
1994,Maryland8,republican,Constance A. Morella,0.7028058537350141
1994,Massachusetts1,democrat,John W. Olver,0.9935703028778027
1994,Massachusetts2,democrat,Richard E. Neal,0.5855298991120461
1994,Massachusetts3,republican,Peter Blute,0.5461834131157592
1994,Massachusetts4,democrat,Barney Frank,0.9949762949439029
1994,Massachusetts5,democrat,Martin T. Meehan,0.6983039240983704
1994,Massachusetts6,republican,Peter G. Torkildsen,0.5051369004861261
1994,Massachusetts7,democrat,Edward J. Markey,0.644289565968245
1994,Massachusetts8,democrat,Joseph P. Kennedy II,0.9895213374933362
1994,Massachusetts9,democrat,John Joseph Moakley,0.6976079886312697
1994,Massachusetts10,democrat,Gerry E. Studds,0.6874127070658035
1994,Michigan1,democrat,Bart Stupak,0.5686423256489143
1994,Michigan2,republican,Peter Hoekstra,0.7526971424451688
1994,Michigan3,republican,Vernon J. Ehlers,0.7386709315582163
1994,Michigan4,republican,Dave Camp,0.7312399891202515
1994,Michigan5,democrat,James A. Barcia,0.654568041824111
1994,Michigan6,republican,Fred Upton,0.7346263692563537
1994,Michigan7,republican,Nick Smith,0.6513859154929578
1994,Michigan8,republican,Dick Chrysler,0.5161073225370739
1994,Michigan9,democrat,Dale E. Kildee,0.512209661168055
1994,Michigan10,democrat,David E. Bonior,0.6223815505918641
1994,Michigan11,republican,Joe Knollenberg,0.6818285996368189
1994,Michigan12,democrat,Sander M. Levin,0.5200936598699615
1994,Michigan13,democrat,Lynn N. Rivers,0.5187285004459167
1994,Michigan14,democrat,"John Conyers, Jr.",0.8149602552797356
1994,Michigan15,democrat,Barbara-Rose Collins,0.841057923866661
1994,Michigan16,democrat,John D. Dingell,0.5914012738853504
1994,Minnesota1,republican,Gil Gutknecht,0.5516091511973661
1994,Minnesota2,democratic-farmer-labor,David Minge,0.5200036399208318
1994,Minnesota3,republican,Jim Ramstad,0.7323479797574103
1994,Minnesota4,democratic-farmer-labor,Bruce F. Vento,0.5490101125195841
1994,Minnesota5,democratic-farmer-labor,Martom Olav Sabo,0.6194309075709071
1994,Minnesota6,democratic-farmer-labor,William P. Luther,0.4993524311272089
1994,Minnesota7,democratic-farmer-labor,Collin C. Peterson,0.5119500670606579
1994,Minnesota8,democratic-farmer-labor,James L. Oberstar,0.6565796862876225
1994,Mississippi1,republican,Roger F. Wicker,0.6305765391991859
1994,Mississippi2,democrat,Bennie G. Thompson,0.536845262526442
1994,Mississippi3,democrat,G. V. (Sonny) Montgomer,0.6761824228183009
1994,Mississippi4,democrat,Mike Parker,0.6846597710068599
1994,Mississippi5,democrat,Gene Taylor,0.6010398015670944
1994,Missouri1,democrat,William (Bill) Clay,0.6343109960919631
1994,Missouri2,republican,James M. Talent,0.6725607611371897
1994,Missouri3,democrat,Richard A. Gephard,0.5766450916936354
1994,Missouri4,democrat,Ike Skelton,0.6775499773946887
1994,Missouri5,democrat,Karen McCarthy,0.5655480505433466
1994,Missouri6,democrat,Pat Danner,0.6614577677901207
1994,Missouri7,republican,Mel Hancock,0.5728373384511729
1994,Missouri8,republican,Bill Emerson,0.6968198032179151
1994,Missouri9,democrat,Harold L. Volkmer,0.5047428052814943
1994,Montana0,democrat,Pat Williams,0.486668389500558
1994,Nebraska1,republican,Doug Bereuter,0.6256536727658446
1994,Nebraska2,republican,Jon Christensen,0.4992499055636501
1994,Nebraska3,republican,Bill Barrett,0.7867782613774295
1994,Nevada1,republican,John E. Ensign,0.4847897375909363
1994,Nevada2,republican,Barbara F. Vucanovich,0.635023132022221
1994,New Hampshire1,republican,"William H. Zeliff, Jr.",0.6563096156187848
1994,New Hampshire2,republican,Charles F. Bass,0.514448577423208
1994,New Jersey1,democrat,Robert E. Andrews,0.7226713884805559
1994,New Jersey2,republican,Frank A. LoBiondo,0.6462193715859045
1994,New Jersey3,republican,Jim Saxton,0.6639782479005094
1994,New Jersey4,republican,Christopher H. Smith,0.6788652815469163
1994,New Jersey5,republican,Marge Roukema,0.742494894034641
1994,New Jersey6,democrat,"Frank Pallone, Jr.",0.6035525449498069
1994,New Jersey7,republican,Bob Franks,0.5957782909373738
1994,New Jersey8,republican,William J. Martini,0.4986559900401788
1994,New Jersey9,democrat,Robert G. Torricelli,0.6253377364154908
1994,New Jersey10,democrat,Donald M. Payne,0.758600357839948
1994,New Jersey11,republican,Rodney P. Frelinghuysen,0.7120392025838067
1994,New Jersey12,republican,Dick Zimmer,0.6834111135229
1994,New Jersey13,democrat,Robert Menendez,0.7090198707406747
1994,New Mexico1,republican,Steven Schiff,0.739292227315294
1994,New Mexico2,republican,Joe Skeen,0.6327612885075257
1994,New Mexico3,democrat,Bill Richardson,0.6358521309638984
1994,New York1,democrat,George J. Hochbrueckner,0.42759722441083936
1994,New York2,republican,Rick Lazio,0.5343533522818156
1994,New York3,republican,Peter T. King,0.45082551697657836
1994,New York4,republican,Dan Frisa,0.44646397884996697
1994,New York5,democrat,Gary L. Ackerman,0.469563622067881
1994,New York6,democrat,Floyd H. Flake,0.612518974908474
1994,New York7,democrat,Thomas J. Manton,0.47572345320256687
1994,New York8,democrat,Jerrold Nadler,0.6405210110094588
1994,New York9,democrat,Charles E. Schumer,0.5716561612523378
1994,New York10,democrat,Edolphus Towns,0.6391489947672817
1994,New York11,democrat,Major R. Owens,0.6487734550302978
1994,New York12,democrat,Nydia M. Vel___zquez,0.5534350579058973
1994,New York13,republican,Susan Molinari,0.5266480415218804
1994,New York14,democrat,Carolyn B. Maloney,0.5715778844620808
1994,New York15,democrat,Charles B. Rangel,0.6865987735032504
1994,New York16,democrat,Jos_ E. Serrano,0.6683544007764356
1994,New York17,democrat,Eliot L. Engel,0.592384041954163
1994,New York18,democrat,Nita M. Lowey,0.5021254450835387
1994,New York19,republican,Sue W. Kelly,0.48001092534824547
1994,New York20,republican,Benjamin A. Gilman,0.5921686539474137
1994,New York21,democrat,Michael R. McNulty,0.5450961756988492
1994,New York22,republican,Gerald B. H. Solomon,0.5515971666468014
1994,New York23,republican,Sherwood K. Boehlert,0.6052176111392011
1994,New York24,republican,John M. McHugh,0.5856695460274017
1994,New York25,republican,James T. Walsh,0.45942492622063724
1994,New York26,democrat,Maurice D. Hinchey,0.43936125968411177
1994,New York27,republican,Bill Paxon,0.5557862667404136
1994,New York28,democrat,Louise McIntosh Slaughter,0.5354603085770526
1994,New York29,democrat,John J. LaFalce,0.503754199284767
1994,New York30,republican,Jack Quinn,0.5268907064373523
1994,New York31,republican,Amo Houghton,0.5455065038451529
1994,North Carolina1,democrat,Eva M. Clayton,0.610688208792916
1994,North Carolina2,republican,David Funderburk,0.5604440702191341
1994,North Carolina3,republican,"Walter B. Jones, Jr.",0.5270990783912946
1994,North Carolina4,republican,Fred Heineman,0.5039363446099617
1994,North Carolina5,republican,Richard Burr,0.5728259032683273
1994,North Carolina6,republican,Howard Coble,1.0
1994,North Carolina7,democrat,Charlie Rose,0.5157218212789769
1994,North Carolina8,democrat,W. G. (Bill) Hefner,0.5237738050589658
1994,North Carolina9,republican,Sue Myrick,0.6498781093938605
1994,North Carolina10,republican,Cass Ballenger,0.7151981852913085
1994,North Carolina11,republican,Charles H. Taylor,0.6011064518807606
1994,North Carolina12,democrat,Melvin L. Watt,0.6580043596854636
1994,North Dakota0,democrat,Earl Pomeroy,0.5231085564746016
1994,Ohio1,republican,Steve Chabot,0.560834403777613
1994,Ohio2,republican,Rob Portman,0.7744225154494527
1994,Ohio3,democrat,Tony P. Hall,0.5929549241230243
1994,Ohio4,republican,Michael G. Oxley,1.0
1994,Ohio5,republican,Paul E. Gillmor,0.7336324467912793
1994,Ohio6,republican,Frank A. Cremans,0.5094962149125746
1994,Ohio7,republican,David L. Hobson,1.0
1994,Ohio8,republican,John A. Boehner,0.9994138453764527
1994,Ohio9,democrat,Marcy Kaptur,0.7533883981248206
1994,Ohio10,republican,Martin R. Hoke,0.518549981213141
1994,Ohio11,democrat,Louis Stokes,0.7721323887296523
1994,Ohio12,republican,John R. Kasich,0.6649917317009487
1994,Ohio13,democrat,Sherrod Brown,0.4908260264733159
1994,Ohio14,democrat,Thomas C. Sawyer,0.5192660352527454
1994,Ohio15,republican,Deborah Pryce,0.7070433824266106
1994,Ohio16,republican,Ralph Regula,0.7499713276134198
1994,Ohio17,democrat,"James A. Traficant, Jr.",0.7740708801313287
1994,Ohio18,republican,Robert W. Ney,0.5397532466852665
1994,Ohio19,republican,Steven C. LaTourette,0.4848527458034736
1994,Oklahoma1,republican,Steve Largent,0.626821901450497
1994,Oklahoma2,republican,Tom A. Coburn,0.5206284480690813
1994,Oklahoma3,democrat,Bill K. Brewster,0.7377133823735642
1994,Oklahoma4,republican,"J. C. Watts, Jr.",0.516412378298724
1994,Oklahoma5,republican,"Ernest J. Istook, Jr.",0.7814978275391529
1994,Oklahoma6,republican,Frank D. Lucas,0.7020280913625624
1994,Oregon1,democrat,Elizabeth Furse,0.47697734941276987
1994,Oregon2,republican,Wes Cooley,0.5728066694825946
1994,Oregon3,democrat,Ron Wyden,0.7253502795953721
1994,Oregon4,democrat,Peter A. DeFazio,0.6675694628152963
1994,Oregon5,republican,Jim Bunn,0.49819798371207147
1994,Pennsylvania1,democrat,Thomas M. Foglietta,0.8151949878950467
1994,Pennsylvania2,democrat,Chaka Fattah,0.8587802845195438
1994,Pennsylvania3,democrat,Robert A. Borski,0.6267417568673054
1994,Pennsylvania4,democrat,Ron Klink,0.6416796853956795
1994,Pennsylvania5,democrat,"William F. Clinger, Jr.",0.9993398931452029
1994,Pennsylvania6,democrat,Tim Holden,0.5674922620135785
1994,Pennsylvania7,republican,Curt Weldon,0.6967186114278474
1994,Pennsylvania8,republican,James C. Greenwood,0.6609819708806394
1994,Pennsylvania9,democrat,Bud Shuster,0.9965014299980299
1994,Pennsylvania10,republican,Joseph M. McDade,0.6568359015286389
1994,Pennsylvania11,democrat,Paul E. Kanjorski,0.665240055585639
1994,Pennsylvania12,democrat,John P. Murtha,0.6890149410835941
1994,Pennsylvania13,republican,Jon D. Fox,0.4941474834178697
1994,Pennsylvania14,democrat,William J. Coyne,0.6413129529261312
1994,Pennsylvania15,democrat,Paul McHale,0.47759245638099784
1994,Pennsylvania16,republican,Robert S. Walker,0.6970817058842209
1994,Pennsylvania17,republican,George W. Gekas,0.9986042172047024
1994,Pennsylvania18,democrat,Michael F. Doyle,0.5479623149394347
1994,Pennsylvania19,republican,William F. Goodling,0.9950366456996251
1994,Pennsylvania20,democrat,Frank Mascara,0.53088580362169
1994,Pennsylvania21,republican,Phil English,0.49460540068241265
1994,Rhode Island1,democrat,Patrick J. Kennedy,0.5414795570852496
1994,Rhode Island2,democrat,Jack Reed,0.6798536421846858
1994,South Carolina1,republican,"Marshall """"Mark"""" Sanford",0.6632015786154566
1994,South Carolina2,republican,Floyd Spence,0.9978666387208814
1994,South Carolina3,republican,Lindsey O. Graham,0.6005477516859024
1994,South Carolina4,republican,Bob Inglis,0.7348769239019681
1994,South Carolina5,democrat,"John M. Spratt, Jr.",0.5210935341021683
1994,South Carolina6,democrat,James E. Clyburn,0.6380153034414747
1994,South Dakota0,democrat,Tim Johnson,0.5983093729774256
1994,Tennessee1,republican,James H. (Jimmy) Quillen,0.7289470143811028
1994,Tennessee2,republican,"John J. Duncan, Jr.",0.9049353602560324
1994,Tennessee3,republican,Zach Wamp,0.5225914873372752
1994,Tennessee4,republican,Van Hilleary,0.5663374451297438
1994,Tennessee5,democrat,Bob Clement,0.6023263697082308
1994,Tennessee6,democrat,Bart Gordon,0.5060295271537404
1994,Tennessee7,republican,Ed bryant,0.6020964532846587
1994,Tennessee8,democrat,John S. Tanner,0.6379593325430838
1994,Tennessee9,democrat,Harold E. Ford,0.577938307729822
1994,Texas1,democrat,Jim Chapman,0.5529694613535219
1994,Texas2,democrat,Charles Wilson,0.5703537521134088
1994,Texas3,republican,Sam Johnson,0.9095654088123183
1994,Texas4,democrat,Ralph M. Hall,0.5877760481097623
1994,Texas5,democrat,John Bryant,0.5005581801708516
1994,Texas6,republican,Joe Barton,0.7563628042106939
1994,Texas7,republican,Bill Arher,1.0
1994,Texas8,republican,Jacl Fields,0.9204545454545454
1994,Texas9,republican,Steve Stockman,0.5188428350032207
1994,Texas10,democrat,Lloyd Doggett,0.5630984325646332
1994,Texas11,democrat,Chet Edwards,0.591826652154111
1994,Texas12,democrat,Pete Geren,0.6867477606516023
1994,Texas13,republican,"William M. """"Mac"""" Thornberry",0.5541987181722448
1994,Texas14,democrat,Greg Laughlin,0.5560825460740282
1994,Texas15,democrat,E de la Garza,0.5895310733380603
1994,Texas16,democrat,Ronald D. Coleman,0.5711157479592772
1994,Texas17,democrat,Charles W. Stenholm,0.5365958677420392
1994,Texas18,democrat,Sheila Jackson-Lee,0.7348123754224802
1994,Texas19,republican,Larry Combest,1.0
1994,Texas20,democrat,Henry B. Gonzalez,0.6252171109423915
1994,Texas21,republican,Lamar S. Smith,0.8996061388021187
1994,Texas22,republican,Tom DeLay,0.7373976364438778
1994,Texas23,republican,Henry Bonilla,0.6259964720648598
1994,Texas24,democrat,Martin Frost,0.5282618763253467
1994,Texas25,democrat,Ken Bentsen,0.5227328333150537
1994,Texas26,republican,Richard K. Armey,0.7641358759756421
1994,Texas27,democrat,Solomon P. Ortiz,0.5937664745768875
1994,Texas28,democrat,Frank Tejeda,0.7088479041916168
1994,Texas29,democrat,Gene Green,0.7343723981749759
1994,Texas30,democrat,Eddie Bernice Johnson,0.7262710686704652
1994,Utah1,republican,James V. Hansen,0.6454021080077236
1994,Utah2,republican,Enid G. Waldhotz,0.4582737090334164
1994,Utah3,democrat,Bill Orton,0.5897992858339887
1994,Vermont0,independent,Bernard Sanders,0.4989477368065113
1994,Virginia1,republican,Herbert H. Bateman,0.7425089352506026
1994,Virginia2,democrat,Owen B. Pickett,0.5904994122001133
1994,Virginia3,democrat,Robert C. Scott,0.7944078465817597
1994,Virginia4,democrat,Norman Sisisky,0.6160745361569971
1994,Virginia5,democrat,L. F. Payne,0.5327534838482478
1994,Virginia6,republican,Bob Goodlatte,0.9985076276807429
1994,Virginia7,republican,"Thomas J. Bliley, Jr.",0.8400480458809677
1994,Virginia8,democrat,James P. Moran,0.5934732302773433
1994,Virginia9,democrat,Rick Boucher,0.5877822470061249
1994,Virginia10,republican,Frank R. Wolf,0.873412673544844
1994,Virginia11,republican,Thomas M. Davis,0.5289530374838431
1994,Washington1,republican,Rick White,0.5165515965972136
1994,Washington2,republican,Jack Metcalf,0.5466452276034723
1994,Washington3,republican,Linda Smith,0.5200951026298577
1994,Washington4,republican,"Richard """"Doc"""" Hastings",0.5334145472515601
1994,Washington5,republican,"George R. Nethercutt, Jr.",0.5092143190935128
1994,Washington6,democrat,Norman D. Dicks,0.5834006260992688
1994,Washington7,democrat,Jim McDermott,0.7513674763477239
1994,Washington8,republican,Jennifer Dunn,0.760719277904797
1994,Washington9,republican,Randy Tate,0.5179060977881877
1994,West Virginia1,democrat,Alan B. Mollohan,0.7029986304823291
1994,West Virginia2,democrat,"Robert E. Wise, Jr.",0.637123722340784
1994,West Virginia3,democrat,"Nick J. Rahall, Jr.",0.6388379960630257
1994,Wisconsin1,republican,Mark W. Neumann,0.4941685555326602
1994,Wisconsin2,republican,Scott L. Klug,0.6920294542274474
1994,Wisconsin3,republican,Steve Gunderson,0.5572723359927143
1994,Wisconsin4,democrat,Gerald D. Kleczka,0.5368912753521974
1994,Wisconsin5,democrat,Thomas M. Barrett,0.6243316268486917
1994,Wisconsin6,republican,Thomas E. Petri,0.9949744555660196
1994,Wisconsin7,democrat,David R. Obey,0.543167096092689
1994,Wisconsin8,republican,Toby Roth,0.6370166053716706
1994,Wisconsin9,republican,"F. James Sensenbrenner, Jr.",0.9976330193796539
1994,Wyoming0,republican,Barbara Cubin,0.5322507479727009
1996,Alabama1,republican,Sonny Callahan,0.6435981442626463
1996,Alabama2,republican,Terry Everett,0.6318752293927824
1996,Alabama3,republican,Bob Riley,0.5042528211149108
1996,Alabama4,republican,Robert B. Aderholt,0.49894374918049506
1996,Alabama5,democrat,Robert E (Bud) Cramer Jr.,0.5567680384534924
1996,Alabama6,republican,Spencer Bachus,0.7093373198513688
1996,Alabama7,democrat,Earl F. Hilliard,0.7113053255115479
1996,Alaska0,republican,Don Young,0.5940693196405649
1996,Arizona1,republican,Matt Salmon,0.6018227641410645
1996,Arizona2,democrat,Ed Pastor,0.6501296579725775
1996,Arizona3,republican,Bob Stump,0.6651521190381294
1996,Arizona4,republican,John B. Shadegg,0.6678086295114559
1996,Arizona5,republican,Jim Kolbe,0.6874295701768507
1996,Arizona6,republican,J. D. Hayworth,0.47566464410643705
1996,Arkansas1,democrat,Marion Berry,0.5278515918776636
1996,Arkansas2,democrat,Vic Snyder,0.5234583320038835
1996,Arkansas3,republican,Asa Hutchinson,0.5569897453398989
1996,Arkansas4,republican,Jay Dickey,0.6350285106404433
1996,California1,republican,Frank Riggs,0.4963240425177495
1996,California2,republican,Wally Herger,0.6080452825121891
1996,California3,democrat,Vic Fazio,0.5351520044016109
1996,California4,republican,John T. Doolittle,0.604640362678068
1996,California5,democrat,Robert T. Matsui,0.7044255655438111
1996,California6,democrat,Lynn C. Woolsey,0.6183441277045021
1996,California7,democrat,George Miller,0.7180554900820776
1996,California8,democrat,Nancy Pelosi,0.8434470342450586
1996,California9,democrat,Ronald V. Dellums,0.7703017395804307
1996,California10,democrat,Ellen O. Tauscher,0.48634981619659373
1996,California11,republican,Richard W. Pombo,0.5934808057604807
1996,California12,democrat,Tom Lantos,0.7168988206322027
1996,California13,democrat,Fortney Pete Stark,0.6517526019858835
1996,California14,democrat,Anna G. Eshoo,0.6478729102524463
1996,California15,republican,Tom Campbell,0.585084718867359
1996,California16,democrat,Zoe Lofgren,0.6565321527578959
1996,California17,democrat,Sam Farr,0.5886931396865172
1996,California18,democrat,Gary A. Condit,0.6572234367639777
1996,California19,republican,George P. Radanovich,0.6657751030870389
1996,California20,democrat,Calvin M. Dooley,0.5650663324834709
1996,California21,republican,William M. Thomas,0.6587218548589604
1996,California22,democrat,Walter H. Capps,0.48446266370717406
1996,California23,republican,Elton Gallegly,0.5958688166330004
1996,California24,democrat,Brad Sherman,0.4942703678879952
1996,California25,republican,"Howard P. """"Buck"""" McKeon",0.6239863814518636
1996,California26,democrat,Howard L. Berman,0.6586840950104863
1996,California27,republican,James E. Rogan,0.5018164586953088
1996,California28,republican,David Dreier,0.6067314123658935
1996,California29,democrat,Henry A. Waxman,0.6762872584571985
1996,California30,democrat,Xavier Becerra,0.7232038714480705
1996,California31,democrat,Matthew G. Martinez,0.6747005550686532
1996,California32,democrat,Julian C. Dixon,0.8235783578886195
1996,California33,democrat,Lucille Roybal-Allard,0.8210209587051256
1996,California34,democrat,Esteban Edward Torres,0.6842675527304247
1996,California35,democrat,Maxine Waters,0.8550438758203672
1996,California36,democrat,Jane Harman,0.5246036024396438
1996,California37,democrat,Juanita Millender-McDonald,0.849979541336243
1996,California38,republican,Stephen Horn,0.5257299651048346
1996,California39,republican,Edward R. Royce,0.6280149773779188
1996,California40,republican,Jerry Lewis,0.6490237158563257
1996,California41,republican,Jay Kim,0.5851301892711492
1996,California42,democrat,George E. Brown Jr.,0.5048192304714717
1996,California43,republican,Ken Calvert,0.5474386399459581
1996,California44,republican,Sonny Bono,0.5777159327060641
1996,California45,republican,Dana Rohrabacher,0.6097935987388211
1996,California46,democrat,Loretta Sanchez,0.4666485056039851
1996,California47,republican,Christopher Cox,0.6566575189620022
1996,California48,republican,Ron Packard,0.6586265927702571
1996,California49,republican,Brian P. Bilbray,0.5262226263251567
1996,California50,democrat,Bob Filner,0.6185567010309279
1996,California51,republican,"Randy """"Duke"""" Cunningham",0.6507265614084113
1996,California52,republican,Duncan Hunter,0.6546957453132273
1996,Colorado1,democrat,Diana DeGette,0.5693063551675858
1996,Colorado2,democrat,David E. Skaggs,0.5703796953679667
1996,Colorado3,republican,Scott McInnis,0.6887036731262853
1996,Colorado4,republican,Bob Schaffer,0.5613704433618637
1996,Colorado5,republican,Joel Hefley,0.7193530565980226
1996,Colorado6,republican,Dan Schaefer,0.6223648654408442
1996,Connecticut1,democrat,Barbara B. Kennelly,0.6747778149635579
1996,Connecticut2,democrat,Sam Gjdenson,0.47724289918431884
1996,Connecticut3,democrat,Rosa L. DeLauro,0.6487187251599228
1996,Connecticut4,republican,Christopher Shays,0.6045698818116919
1996,Connecticut5,democrat,James H. Maloney,0.48974573513689396
1996,Connecticut6,republican,Nancy L. Johnson,0.496232810551643
1996,Delaware0,republican,Michael N. Castle,0.6954851572718312
1996,Florida1,republican,Joe Scarborough,0.7254159022037148
1996,Florida2,democrat,Allen Boyd,0.5944535283993115
1996,Florida3,democrat,Corrine Brown,0.611956501394426
1996,Florida4,republican,Tillie K. Fowler,1.0
1996,Florida5,democrat,Karen L. Thurman,0.6168111190688661
1996,Florida6,republican,Cliff Stearns,0.6717919498257376
1996,Florida7,republican,John L. Mica,0.6204390279715146
1996,Florida8,republican,Bill McCollum,0.6747279143560393
1996,Florida9,republican,Michael Bilirakis,0.686608609994183
1996,Florida10,republican,C. W. Bill Young,0.6660633220812479
1996,Florida11,democrat,Jim Davis,0.579083579238326
1996,Florida12,republican,Charles T. Canady,0.6156998849806878
1996,Florida13,republican,Dan Miller,0.6434547098227518
1996,Florida14,republican,Porter J. Goss,0.7349128445319183
1996,Florida15,republican,Dave Weldon,0.5142001109672647
1996,Florida16,republican,Mark Foley,0.6400282653592724
1996,Florida17,democrat,Carrie P. Meek,0.8875314520187357
1996,Florida18,republican,Ileana Ros-Lehtinen,0.9999514818259007
1996,Florida19,democrat,Robert Wexler,0.6557403245248674
1996,Florida20,democrat,Peter Deutsch,0.6499369472683271
1996,Florida21,republican,Lincoln Diaz-Balart,0.9999681206315303
1996,Florida22,republican,E. Clay Shaw Jr.,0.6186230360349791
1996,Florida23,democrat,Alcee L. Hastings,0.7345009310585309
1996,Georgia1,republican,Jack Kingston,0.6820984940780467
1996,Georgia2,democrat,Sanford D. Bishop Jr.,0.539666621824897
1996,Georgia3,republican,Mac Collins,0.6110656591577781
1996,Georgia4,democrat,Cynthia A. McKinney,0.5776135403512278
1996,Georgia5,democrat,John Lewis,1.0
1996,Georgia6,republican,Newt Gingrich,0.5780311327956454
1996,Georgia7,republican,Bob Barr,0.5780393654463447
1996,Georgia8,republican,Saxby Chambliss,0.525580350877193
1996,Georgia9,republican,Nathan Deal,0.6554694995895032
1996,Georgia10,republican,Charlie Norwood,0.5234580061371275
1996,Georgia11,republican,John Linder,0.6430603146043632
1996,Hawaii1,democrat,Neil Abercrombie,0.5036526021160703
1996,Hawaii2,democrat,Patsy T. Mink,0.6033167000989152
1996,Idaho1,republican,Helen Chenoweth,0.4998300463029406
1996,Idaho2,republican,Michael D. Crapo,0.6876657593523171
1996,Illinois1,democrat,Bobby L. Rush,0.8566906106453058
1996,Illinois2,democrat,Jesse L. Jackson Jr.,0.9406406128264222
1996,Illinois3,democrat,William O. Lipinski,0.6533708721583872
1996,Illinois4,democrat,Luis V. Gutierrez,0.9357327042299884
1996,Illinois5,democrat,Rod R. Blagojevich,0.6411747378986069
1996,Illinois6,republican,Henry J. Hyde,0.6428668537634618
1996,Illinois7,democrat,Danny K. Davis,0.825909053259339
1996,Illinois8,republican,Philip M. Crane,0.6223082730571589
1996,Illinois9,democrat,Sidney R. Yates,0.6340153609204312
1996,Illinois10,republican,John Edward Porter,0.6909139216123508
1996,Illinois11,republican,Jerry Weller,0.51768385747395
1996,Illinois12,democrat,Jerry F. Costello,0.7159493888382438
1996,Illinois13,republican,Harris W. Fawell,0.5993424838371187
1996,Illinois14,republican,J. Dennis Hastert,0.6439424421835183
1996,Illinois15,republican,Thomas W. Ewing,0.5733215212901025
1996,Illinois16,republican,Donald A. Manzullo,0.6029066199035511
1996,Illinois17,democrat,Lane Evans,0.5191263685638029
1996,Illinois18,republican,Ray LaHood,0.5925315601412702
1996,Illinois19,democrat,Glenn Poshard,0.6667983442247484
1996,Illinois20,republican,John Shimkus,0.5025642304399505
1996,Indiana1,democrat,Peter J. Visclosky,0.6915795415119645
1996,Indiana2,republican,David M. McIntosh,0.5783129700351837
1996,Indiana3,democrat,Tim Roemer,0.5792247810574116
1996,Indiana4,republican,Mark E. Souder,0.5837213777179142
1996,Indiana5,republican,Stephen E. Buyer,0.5930103121106906
1996,Indiana6,republican,Dan Burton,0.7492253458312165
1996,Indiana7,republican,Edward A. Pease,0.6195672893633244
1996,Indiana8,republican,John N. Hostettler,0.49967252483353347
1996,Indiana9,democrat,Lee H. Hamilton,0.56480665126695
1996,Indiana10,democrat,Julia Carson,0.5294291538617873
1996,Iowa1,republican,James A. Leach,0.5283896711311714
1996,Iowa2,republican,Jim Nussle,0.5341727295141225
1996,Iowa3,democrat,Leonard L. Boswell,0.49351357104843
1996,Iowa4,republican,Greg Ganske,0.5201337964749775
1996,Iowa5,republican,Tom Latham,0.6544999756074845
1996,Kansas1,republican,Jerry Moran,0.7348369679679871
1996,Kansas2,republican,Jim Ryun,0.5220288958179611
1996,Kansas3,republican,Vince Snowbarger,0.49834207058553914
1996,Kansas4,republican,Todd Tiahrt,0.5011330350909353
1996,Kentucky1,republican,Ed Whitfield,0.5355236672319451
1996,Kentucky2,republican,Ron Lewis,0.5809342522091925
1996,Kentucky3,republican,Anne M. Northup,0.5025778822072546
1996,Kentucky4,republican,Jim Bunning,0.6838733640874198
1996,Kentucky5,republican,Harold Rogers,0.9999066633857433
1996,Kentucky6,democrat,Scotty Baesler,0.5569508906864695
1996,Louisiana1,republican,Bob Livingston,1.0
1996,Louisiana2,democrat,William J. Jefferson,1.0
1996,Louisiana3,republican,W. J. (Billy) Tauzin,1.0
1996,Louisiana4,republican,Jim McCrery,1.0
1996,Louisiana5,republican,John Cooksey,0.5827651669359297
1996,Louisiana6,republican,Richard H. Baker,1.0
1996,Louisiana7,democrat,Christopher John,0.5312200165425972
1996,Maine1,democrat,Thomas H. Allen,0.5530391769903618
1996,Maine2,democrat,John Elias Baldacci,0.7192335699981796
1996,Maryland1,republican,Wayne T. Gilchrest,0.6155367443957985
1996,Maryland2,republican,Robert L. Ehrlich Jr.,0.6182508782770646
1996,Maryland3,democrat,Benjamin L. Cardin,0.6731219595415466
1996,Maryland4,democrat,Albert Russell Wynn,0.8519131383622912
1996,Maryland5,democrat,Steny H. Hoyer,0.569176044374783
1996,Maryland6,republican,Roscoe G. Bartlett,0.568262699539754
1996,Maryland7,democrat,Elijah E. Cummings,0.8346659937272433
1996,Maryland8,republican,Constance A. Morella,0.6122434235347949
1996,Massachusetts1,democrat,John W. Olver,0.5272386796186218
1996,Massachusetts2,democrat,Richard E. Neal,0.7167419342072283
1996,Massachusetts3,democrat,James P. McGovern,0.5293829406069064
1996,Massachusetts4,democrat,Barney Frank,0.7163581245104954
1996,Massachusetts5,democrat,Martin T. Meehan,0.9907743994987496
1996,Massachusetts6,democrat,John F. Tierney,0.4812304842263703
1996,Massachusetts7,democrat,Edward J. Markey,0.6982411168513626
1996,Massachusetts8,democrat,Joseph P. Kennedy II,0.8425495361356088
1996,Massachusetts9,democrat,John Joseph Moakley,0.7222656118781282
1996,Massachusetts10,democrat,William D. Delahunt,0.5431987375094197
1996,Michigan1,democrat,Bart Stupak,0.7067459529344876
1996,Michigan2,republican,Peter Hoekstra,0.6527735623711564
1996,Michigan3,republican,Vernon J. Ehlers,0.6859777447650813
