Total population,Male,Female,White alone,Black or African American alone,American Indian & Alaska Native alone,Asian alone,Native Hawaiian & Other Pacific Islander alone,Some other race alone, Two or more races,Hispanic or Latino (any race),Median household income,Per capita income,Median housing value,Gini index of income inequality,Median gross rent,Median age,Median income,Income in the past 12 months below poverty level,Income in the past 12 months at or above poverty level:,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Total enrolled in school,Total not enrolled in school,Total enrolled in public school,Total enrolled in private school,Males for population,"Males 12th grade, no diploma",Males Highschool diploma,Males Bachelor's degree,Females for population,"Females 12th grade, no diploma",Females Highschool diploma,Females Bachelor's degree,Total pop over 5,Speak only English,Males for population poverty,Males unemployed,Aggregate income deficit in the past 12 months,Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Household population,"$200,000 or more","Less than $10,000",Population for veterans,Veteran,Population for employment,"Agriculture, forestry, fishing and hunting, and mining","Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",NAME,state,congressional district,year
712274,356090,356184,688429,11478,1494,2638,230,2518,5487,6702,30267,17136,75200,0.4693,564,41.0,17239,193272,476221,137015,156592,533450,142162,14430,241388,4085,98970,13851,252211,2261,89709,15654,,,553314,7944,435573300,11607214100,271648,2210,44033,557708,39623,234595,11445,7434,14946,"Congressional District 5 (114th Congress), Kentucky",21,05,2014
749561,368307,381254,636504,66180,3010,13368,364,12650,17485,34215,47057,25818,147200,0.4722,711,36.9,24388,100964,514347,152988,198110,524181,170871,27239,235755,2874,71690,45397,255653,2488,72802,45724,,,575989,6144,230729500,18988134800,257859,9279,20639,581934,45729,356573,10136,15268,32481,"Congressional District 6 (114th Congress), Kentucky",21,06,2014
796858,386898,409960,630097,108175,11478,20084,320,10875,15829,72123,54764,29547,182400,0.4780,894,37.3,27692,66967,552115,173482,202668,568320,143095,59573,254392,4291,78060,45443,282348,3305,84708,55861,,,617226,3444,200027400,22700982300,240984,14502,13101,610826,41085,373711,13457,22909,37920,"Congressional District 1 (114th Congress), Louisiana",22,01,2014
775807,374128,401679,249041,483709,1677,18531,330,11550,10969,43298,36297,22971,148400,0.5221,860,35.7,21831,29951,212880,165276,193532,552482,151334,42198,243896,4941,84189,32703,276576,7179,84040,39724,,,601378,6336,349520100,16317860700,104138,5724,6851,597902,34774,342068,5821,12677,32421,"Congressional District 2 (114th Congress), Louisiana",22,02,2014
777665,379619,398046,550804,194534,1996,11300,47,4059,14925,28250,47095,25172,123200,0.4709,752,35.4,23693,65419,477476,186633,197237,545851,162112,35125,243660,6509,84585,33094,261888,4034,90916,40481,,,593058,3989,201487700,18649907600,213104,9277,13902,581452,43218,353060,35415,15382,26720,"Congressional District 3 (114th Congress), Louisiana",22,03,2014
756663,373774,382889,463426,254401,5434,6135,1775,8564,16928,30629,40576,22511,112600,0.4919,751,36.3,22500,65799,385129,174296,187411,537498,162715,24696,236147,4547,88441,28638,258155,3355,88585,33037,,,563244,4181,319562900,15873123800,176750,6629,14352,559686,57033,293765,17900,10637,22541,"Congressional District 4 (114th Congress), Louisiana",22,04,2014
750819,373397,377422,462421,267648,2993,5033,222,2617,9885,15226,35169,19495,99000,0.4980,665,37.1,19785,73185,369850,165913,185352,536481,162907,22445,241308,5802,97291,24461,250858,5085,92475,32033,,,542837,6241,370716900,13991092100,176361,5334,17176,571272,46659,273651,16014,13767,16702,"Congressional District 5 (114th Congress), Louisiana",22,05,2014
791864,384300,407564,563353,193717,2431,17592,122,4573,10076,34363,56102,28671,163800,0.4545,859,35.2,28231,64791,490389,182786,213307,549432,170124,43183,243701,4360,77302,44799,267759,3205,82936,53586,,,611733,3615,196206400,21964786200,218173,11848,12607,600078,38953,381769,10497,21066,34995,"Congressional District 6 (114th Congress), Louisiana",22,06,2014
673835,326947,346888,636471,11579,2835,9272,0,1695,11983,11767,56043,32249,224700,0.4598,865,43.7,27980,65489,556417,124813,149989,505355,121799,28190,232046,3683,68560,50453,254221,1870,67422,63986,,,542562,2912,128440700,21307096300,268902,12799,14183,541709,53855,351868,6885,25094,39035,"Congressional District 1 (114th Congress), Maine",23,01,2014
656254,320675,335579,623807,4978,5487,5175,36,1252,15519,8072,42623,23592,138300,0.4437,676,44.6,22181,96567,509621,118173,146942,490774,126615,20327,228160,2942,85448,32786,244980,2681,88857,38665,,,528520,3385,174529800,14895490500,260523,4453,22313,528724,60103,301321,11156,14049,21123,"Congressional District 2 (114th Congress), Maine",23,02,2014
728405,357778,370627,603248,88624,1060,17933,498,5131,11911,26125,68386,32928,264500,0.4402,1021,42.1,31330,48147,545179,151120,178484,528374,152807,25677,239608,4132,81274,43349,260916,3623,79791,46067,,,573192,1626,122075800,23351533300,230620,17020,9418,569648,52180,361073,6700,19902,39200,"Congressional District 1 (114th Congress), Maryland",24,01,2014
743321,357547,385774,413514,251717,1570,39235,59,14719,22507,49226,60941,29834,218800,0.4356,1155,36.1,31260,46232,356112,161385,188861,524969,159043,29818,233283,4054,75614,40500,264244,5250,76878,48019,,,570185,5167,155218700,21418713400,164588,7882,9061,567636,49791,359283,749,21949,42823,"Congressional District 2 (114th Congress), Maryland",24,02,2014
768378,361670,406708,484512,180941,1087,58378,227,18437,24796,65606,81015,40315,304500,0.4375,1349,36.9,39737,29754,443184,156724,204879,535206,151294,53585,245427,3211,52039,62809,285972,1891,65751,71972,721721,580089,603899,2795,112290300,30013741500,196956,24064,7820,596770,46724,408374,1091,26574,64983,"Congressional District 3 (114th Congress), Maryland",24,03,2014
742761,356166,386595,253917,390819,1768,20802,0,58751,16704,116511,72035,34335,274900,0.4167,1285,36.9,36541,13257,238628,165245,188136,524587,157463,30673,232045,5222,60970,43366,270567,4701,70529,49740,,,578854,4427,101305400,24465765100,90273,10604,1916,565852,47630,383205,611,16959,55694,"Congressional District 4 (114th Congress), Maryland",24,04,2014
753079,372743,380336,389615,283227,2580,31908,180,17363,28206,60545,89671,36348,297000,0.3876,1433,38.3,39919,29321,348701,166161,210481,518865,179288,31193,241597,3881,70983,45250,259104,3152,66643,53121,710060,625272,575802,2735,98349400,26436648300,139483,14056,5451,573812,63548,379154,1590,17750,53947,"Congressional District 5 (114th Congress), Maryland",24,05,2014
755369,376424,378945,513374,92578,3039,82096,402,33368,30512,96489,73980,36772,295700,0.4603,1216,38.7,33900,43064,459541,170337,198037,527427,163228,34809,251032,3217,62571,50178,261783,2754,59191,59630,704115,523649,576118,3038,120913400,26983716900,202257,19846,9181,574730,44699,374760,3654,26761,68546,"Congressional District 6 (114th Congress), Maryland",24,06,2014
738431,354700,383731,264827,396411,2036,49502,171,7881,17603,29833,58093,31936,244900,0.4961,1032,37.4,29858,18560,238206,151643,199194,515358,160141,39053,232554,4234,64653,46719,266007,4097,69637,50577,694081,612461,571574,5685,186659000,22440401500,104329,15806,4024,576795,38976,337067,2047,19076,44057,"Congressional District 7 (114th Congress), Maryland",24,07,2014
746663,359005,387658,509575,90301,1517,70142,549,53811,20768,111844,94004,47943,423000,0.4625,1599,40.4,41388,23096,480184,164914,195086,525386,149393,45693,244221,3148,39278,58924,274453,2554,48124,71094,703527,502005,585274,1699,73183300,34972475900,200626,36752,6169,575847,41334,391385,2273,27957,75813,"Congressional District 8 (114th Congress), Maryland",24,08,2014
733426,351239,382187,614854,46699,2530,13892,290,38339,16822,122402,50966,28299,210700,0.4707,827,41.0,25903,75160,519181,143911,182783,527857,149000,33783,236593,4686,72139,38245,265876,4890,74645,43635,694270,560059,574040,5987,196838800,19939075400,249135,11962,15839,577532,48166,351217,3673,20258,29225,"Congressional District 1 (114th Congress), Massachusetts",25,01,2014
736475,362808,373667,624547,36702,1483,39034,64,12031,22614,68672,63721,31253,255700,0.4533,946,39.1,29062,65835,527589,144325,204942,509056,165805,39137,234897,4105,71383,53379,255358,4222,68873,55573,698424,577584,568957,3343,132495000,22256442200,240375,15482,12874,585571,39648,375213,2102,23364,37604,"Congressional District 2 (114th Congress), Massachusetts",25,02,2014
755778,372947,382831,579456,19546,3286,55990,155,73726,23619,144264,68401,35330,303400,0.4805,1039,38.7,31678,52140,515158,168346,195317,532932,162403,32914,248232,2974,72809,52980,263386,4017,66924,55150,709257,513762,583352,3110,164290200,25876296500,221102,23015,11029,580135,35779,375260,2069,20108,53362,"Congressional District 3 (114th Congress), Massachusetts",25,03,2014
748190,361345,386845,653912,21330,743,43284,76,10222,18623,31397,87957,45287,388000,0.4799,1175,41.0,39270,36722,598134,164551,202110,524037,143940,58170,242167,3224,55082,61314,265108,2855,55596,69148,709567,589123,577236,1757,73035000,33279932800,247409,37210,9772,579507,37470,393576,1632,32309,54183,"Congressional District 4 (114th Congress), Massachusetts",25,04,2014
755944,364986,390958,592584,40036,316,86899,285,15066,20758,65415,81376,45074,452200,0.4886,1384,38.7,39164,43793,529221,148267,194339,534496,126791,67548,251350,3271,50483,68766,281037,3453,56034,74527,710403,505740,594619,2788,89025000,32986507800,240114,33002,12073,602780,28751,406554,438,32959,72489,"Congressional District 5 (114th Congress), Massachusetts",25,05,2014
757309,366689,390620,648304,22847,1869,31291,0,35953,17045,61966,81137,41513,384100,0.4652,1154,42.7,36090,36268,598307,151272,182611,552039,146550,36061,253774,2992,66058,69473,280588,3261,64176,67350,718845,598970,606112,1845,85575800,30655437300,255825,29474,10819,600703,40992,400889,1932,28809,55209,"Congressional District 6 (114th Congress), Massachusetts",25,06,2014
769929,373792,396137,395110,191881,2180,75814,106,50165,54673,160308,54152,31852,385100,0.5320,1317,31.3,25909,61798,299150,132486,233254,510004,122514,110740,241940,3656,54063,58357,264111,5702,57911,58259,725143,422747,595526,5586,253077000,22900747600,159026,16896,12892,631409,16447,403934,1255,29823,61942,"Congressional District 7 (114th Congress), Massachusetts",25,07,2014
751768,362217,389551,586750,74762,1224,56392,353,13993,18294,40014,77203,41720,371500,0.4746,1323,39.7,36856,41805,533341,145078,178307,549242,131843,46464,253499,4198,64167,68375,287353,3212,64959,75137,711208,561674,603428,2511,122495200,30377252700,242097,28761,10973,601521,37621,399641,699,46192,56162,"Congressional District 8 (114th Congress), Massachusetts",25,08,2014
736589,353656,382933,651903,23724,1968,10483,0,30433,18078,35656,63304,34978,330600,0.4646,853,45.1,30406,51458,588531,138548,164015,551545,139545,24470,247078,3350,74501,50802,282004,2746,71229,57523,,,595232,1634,141385500,24945991100,267372,15848,11816,591223,53413,364371,2754,21618,37759,"Congressional District 9 (114th Congress), Massachusetts",25,09,2014
703687,358411,345276,649927,11962,16404,4348,282,1764,19000,11692,44265,24837,119600,0.4490,677,46.0,22467,85098,547068,126113,151178,534583,134170,17008,254438,3666,89089,38716,252113,2014,83612,38954,,,561864,4789,137296500,16753957200,275024,5841,19033,568881,63765,298236,8733,13777,19568,"Congressional District 1 (114th Congress), Michigan",26,01,2014
724843,354660,370183,615780,43140,3945,15663,200,21608,24507,68150,49175,23580,125700,0.4314,740,36.6,23372,80429,521374,167569,193352,502040,164543,28809,227278,3921,74305,37660,241188,3601,73993,40459,,,554522,6540,181124900,16724221400,238755,6255,14161,548017,42615,335946,6880,16059,29521,"Congressional District 2 (114th Congress), Michigan",26,02,2014
725487,361955,363532,609903,64386,4651,13455,182,14552,18358,50695,52809,26028,137600,0.4462,780,37.1,25595,68476,527754,168228,189889,507340,154609,35280,234731,3017,68987,42083,245658,2542,70863,48764,,,554778,4938,169379000,18373528400,232299,9107,13151,547584,42100,340604,4651,15894,31647,"Congressional District 3 (114th Congress), Michigan",26,03,2014
702630,351616,351014,661426,12686,5432,6640,105,2101,14240,21592,44572,23455,111900,0.4427,679,40.9,22596,110587,531389,139546,185672,495137,165363,20309,231931,3843,87537,28117,238752,2956,80343,35160,,,550220,4705,192295600,15886289300,259963,6199,19343,554898,48105,300123,9326,14014,20363,"Congressional District 4 (114th Congress), Michigan",26,04,2014
687292,331430,355862,531937,118792,3023,7030,103,6612,19795,33104,41597,23138,89700,0.4545,697,40.9,22461,83990,441754,145069,164701,497874,149227,15474,221773,4461,76566,26973,249185,2807,79044,31667,,,543567,8936,266357500,15634022100,222779,4766,15739,531527,44349,269555,2326,13068,21416,"Congressional District 5 (114th Congress), Michigan",26,05,2014
712100,348683,363417,604262,59469,4146,11738,503,9997,21985,41730,46697,24668,130900,0.4433,701,38.5,24730,79652,512453,155094,187830,498586,165371,22459,226749,3655,70074,35827,243931,2666,72756,41436,,,554477,5228,198081800,17184615500,239783,7123,14465,549020,44874,330820,9141,15429,25579,"Congressional District 6 (114th Congress), Michigan",26,06,2014
702894,352633,350261,642782,28765,2482,6211,25,6891,15738,30631,53554,26935,130600,0.4275,749,41.9,26708,65777,560603,147731,169684,510408,143793,25891,240336,3295,83320,33961,244008,2434,77289,35002,,,546957,3605,142320600,18534441800,256343,7758,11710,546325,48843,318618,5042,16411,22399,"Congressional District 7 (114th Congress), Michigan",26,07,2014
725201,355503,369698,619643,42983,2251,30991,52,8426,20855,34858,63645,32126,176900,0.4459,854,37.7,29833,59622,545953,159767,220354,482084,195127,25227,223670,2875,46179,50952,240985,1731,57444,51269,684984,624298,561252,3012,112971000,22742575100,240425,14278,11648,559137,38603,353168,1341,25697,38992,"Congressional District 8 (114th Congress), Michigan",26,08,2014
720485,351162,369323,573407,95165,2501,28304,41,3611,17456,14840,50706,29718,121100,0.4667,880,40.4,27744,68791,499852,144297,171743,526175,147674,24069,242662,4946,66267,43342,265194,4482,74605,46505,684828,595374,585805,5969,216054500,20935047600,247147,11216,14011,571400,40718,346960,630,22489,41098,"Congressional District 9 (114th Congress), Michigan",26,09,2014
706525,350851,355674,657917,17479,2267,11745,0,3337,13780,22364,58479,27981,154400,0.4108,816,42.8,27281,60220,593176,152770,171910,513902,152717,19193,239783,4123,79499,34341,252201,2749,82743,37236,,,561738,3643,112170300,19307525100,255738,7629,12783,549058,45377,326912,6042,16143,25367,"Congressional District 10 (114th Congress), Michigan",26,10,2014
718435,353692,364743,593200,38053,1459,65964,151,5477,14131,25117,74527,38098,196200,0.4389,962,41.1,36396,34574,554359,160002,183781,512170,154089,29692,239643,2685,45695,66053,261523,2908,56880,64321,678552,575215,571320,2044,82995700,26832806600,235586,22481,8292,554766,36714,361336,762,26097,45997,"Congressional District 11 (114th Congress), Michigan",26,11,2014
705207,345473,359734,554225,74524,1863,38234,532,13454,22375,41109,52569,28544,122200,0.4587,904,35.7,27357,82986,459316,150491,212788,466572,188369,24419,216537,4759,52668,38430,240033,3095,63343,40310,661904,544442,549004,2812,192191100,19239196800,219668,9051,14653,550598,36618,326131,1003,14006,30444,"Congressional District 12 (114th Congress), Michigan",26,12,2014
687170,326065,361105,264609,378544,3943,8527,84,18033,13430,46713,31887,17115,59800,0.4711,737,35.8,18122,62208,199390,157929,179439,479033,165266,14173,205255,6508,75022,17586,235960,6434,75868,22986,,,532748,11794,464471900,11024454200,101664,957,11231,518430,35202,259350,1299,11766,25081,"Congressional District 13 (114th Congress), Michigan",26,13,2014
687921,323123,364798,237568,389246,1362,32554,0,5996,21195,32500,41516,25665,90100,0.5206,858,39.5,22846,36252,197272,146639,173294,489752,147346,25948,210948,4545,56988,33304,254060,5312,59868,43948,647309,549842,542923,9564,337350000,16952276400,98176,7954,6272,533210,32252,280275,253,18757,33785,"Congressional District 14 (114th Congress), Michigan",26,14,2014
666946,331597,335349,610937,19394,1936,17579,181,7765,9154,41147,57321,29231,152700,0.4358,701,38.5,28747,62904,530123,147882,176632,465737,151086,25546,220136,3750,72329,35845,225519,3030,61276,41301,,,510112,2097,118062700,19049907500,246178,9251,12625,512386,43168,348599,17586,13133,19137,"Congressional District 1 (114th Congress), Minnesota",27,01,2014
689759,340632,349127,587696,30464,3780,30659,572,18697,17891,38681,76409,35653,225900,0.4123,973,37.5,36841,31645,547708,172408,184710,478338,153282,31428,220166,3439,54752,56641,233905,2977,53308,61482,,,525483,1357,87846000,24160559100,228194,16900,6821,513223,39888,379573,6233,33117,39765,"Congressional District 2 (114th Congress), Minnesota",27,02,2014
685736,332783,352953,557031,45519,1333,53090,502,8038,20223,30616,79965,43833,251100,0.4636,1097,40.1,39793,29075,524261,156597,171849,489679,139232,32617,226542,2671,41183,72644,250228,2071,42570,75892,644079,548420,537844,1160,73344200,29617905000,233606,30124,6398,522420,35063,372206,1721,38798,51412,"Congressional District 3 (114th Congress), Minnesota",27,03,2014
695920,339146,356774,501721,66896,4932,84072,265,11978,26056,45282,61244,33737,215000,0.4762,897,35.5,31203,38242,450293,160936,185858,480588,142819,43039,220684,2686,46150,54608,240630,2576,50697,64750,,,532314,5418,152680100,22832196300,214099,17725,8653,529961,35062,356043,2321,28662,39661,"Congressional District 4 (114th Congress), Minnesota",27,04,2014
706584,352175,354409,490587,116252,7259,40554,138,25738,26056,63973,52447,32474,193800,0.4908,887,33.8,29860,57317,419875,141231,181766,495734,149365,32401,238116,3383,49106,66377,241756,2686,45016,65709,657548,523749,554879,5387,178911900,22268705400,221979,13717,10381,557350,29298,390128,1527,31680,57244,"Congressional District 5 (114th Congress), Minnesota",27,05,2014
684784,346695,338089,627024,18276,2899,15220,42,4325,16998,17891,71604,31806,198300,0.4072,852,36.1,32482,42258,573884,173031,188699,470266,161723,26976,220997,3786,64482,44812,220896,1976,55469,51064,,,516059,2347,73320200,21303200400,229584,10386,7802,506496,39285,369693,4624,26200,33103,"Congressional District 6 (114th Congress), Minnesota",27,06,2014
662682,332650,330032,613159,9146,17296,4855,453,6715,11058,28271,51880,26998,138400,0.4256,654,40.8,26839,63530,533870,147108,154466,484051,134346,20120,221067,2857,78889,32641,226511,2091,72957,37470,,,510987,1957,126084900,17381427500,252901,6493,13849,508559,45061,336038,24361,14595,18142,"Congressional District 7 (114th Congress), Minnesota",27,07,2014
664762,337145,327617,618804,6485,17499,4323,239,1813,15599,10579,51322,26884,156200,0.4293,719,43.1,25873,71412,532802,136159,154093,490339,137008,17085,233351,3265,82881,33523,232079,2400,72312,39335,,,522569,2727,143241700,17605591000,261343,6954,14812,521005,55596,312237,10122,15368,20348,"Congressional District 8 (114th Congress), Minnesota",27,08,2014
760275,369031,391244,528166,207262,579,4782,321,7609,11556,22991,41448,21358,106100,0.4536,711,37.1,21964,70575,445252,175473,208473,524926,187474,20999,235009,4843,76218,27558,263082,4583,78333,33753,,,575946,5483,262038800,15676429600,204561,5122,16323,573528,42964,320670,6114,12653,20737,"Congressional District 1 (114th Congress), Mississippi",28,01,2014
722640,346507,376133,227787,478701,2777,2599,0,6541,4235,15010,32701,17222,81900,0.4749,644,35.6,19097,29575,188635,167885,199357,494888,171966,27391,215014,5295,69196,21445,246015,4797,68440,31389,,,530733,9475,407659300,11728933700,91818,2216,5871,539111,32378,265222,10329,9312,17121,"Congressional District 2 (114th Congress), Mississippi",28,02,2014
749430,366454,382976,459890,264661,6199,8090,127,3497,6966,14805,41762,24387,113200,0.5073,722,37.5,22138,55401,391969,165598,199023,522972,166814,32209,233157,4703,72271,32787,260331,4251,68948,41636,,,565144,5878,275542900,17661482100,180716,8510,12450,570127,43832,318219,14614,18865,24381,"Congressional District 3 (114th Congress), Mississippi",28,03,2014
761734,375836,385898,545352,181932,2697,8538,10,7619,15586,27760,41944,21035,118000,0.4532,769,36.7,22277,74600,458093,175108,199799,532335,174670,25129,238441,4324,77404,29719,259661,3816,75126,35963,,,572716,4965,311990400,15079568000,204085,4364,15820,568416,55326,304475,10500,14807,21210,"Congressional District 4 (114th Congress), Mississippi",28,04,2014
744782,352977,391805,329319,366252,1441,19023,350,7216,21181,21158,40843,24466,102000,0.4810,798,35.6,24125,37140,282394,153138,195422,520067,139671,55751,227747,5150,61962,40706,270723,4281,65926,47568,,,581122,7773,264091800,17415058000,148320,6345,10459,579210,45724,351322,1012,24970,40548,"Congressional District 1 (114th Congress), Missouri",29,01,2014
758288,364346,393942,679555,25825,1137,35719,171,3625,12256,22756,74868,41147,214400,0.4633,953,42.2,35898,38790,632291,163637,187968,545696,135430,52538,251808,2752,44678,73277,284284,2191,59699,79300,,,600778,1693,61993700,30518859800,272616,25187,8569,590159,47562,383217,1435,39501,49931,"Congressional District 2 (114th Congress), Missouri",29,02,2014
766993,380912,386081,709357,28169,3024,5092,543,6568,14240,17175,58204,26614,157700,0.4144,778,38.5,27685,73583,620924,174873,192549,547984,151659,40890,253288,4267,87308,38554,260485,2623,85087,41591,,,586603,2959,149500000,19960083900,268157,7210,14354,582078,56616,368524,5191,27451,29724,"Congressional District 3 (114th Congress), Missouri",29,03,2014
763003,379760,383243,677735,37622,3852,10791,357,6581,26065,26677,45674,22549,131800,0.4454,733,36.7,22268,103589,544694,164771,212024,523971,182094,29930,239668,3745,88388,32253,249616,4208,82575,40218,,,567920,4714,201654300,16551008200,259944,4814,21833,572695,62333,330625,9419,20802,22977,"Congressional District 4 (114th Congress), Missouri",29,04,2014
758442,367259,391183,510277,168247,3626,13443,843,36314,25692,67449,43513,25183,114600,0.4609,788,36.9,25761,60832,440623,169492,183155,543250,148446,34709,242111,5346,83974,40735,269341,3734,80604,46639,,,589320,4429,210153400,18239278300,217708,5515,13585,579835,48644,363896,3013,28095,43595,"Congressional District 5 (114th Congress), Missouri",29,05,2014
760291,378337,381954,691037,32556,2887,8764,580,5470,18997,28110,54389,26625,141400,0.4333,713,38.9,26779,78169,588805,170647,194860,537073,166129,28731,249492,3350,90637,41003,259775,3091,86574,48939,,,572524,3791,148150800,19656056600,267613,8527,16521,579475,56683,365580,9705,23696,29469,"Congressional District 6 (114th Congress), Missouri",29,06,2014
765669,375628,390041,708459,16305,6636,9026,818,5465,18960,36839,41004,22183,122400,0.4448,698,38.3,21984,121284,568013,161748,200261,538986,168744,31517,244409,4308,84293,35148,264021,4073,83306,41139,,,592294,5388,215963700,16472593600,282761,5539,23715,590989,59274,345482,6653,17457,30502,"Congressional District 7 (114th Congress), Missouri",29,07,2014
746121,371294,374827,684532,36625,3784,5568,101,2441,13070,13161,38400,20170,105300,0.4492,615,41.1,20244,127325,535152,153891,171412,549283,154312,17100,250513,4528,103200,23637,259486,3277,91544,25962,,,573978,5626,276183800,14647363500,269120,3882,26523,578020,61451,297000,11730,11042,18673,"Congressional District 8 (114th Congress), Missouri",29,08,2014
1023579,513409,510170,914571,5812,70035,8176,276,2856,21853,34668,46328,25989,196800,0.4544,711,39.6,24232,121144,771778,212495,236766,751583,208659,28107,345528,4570,110810,65293,350322,3935,102355,70108,,,799491,4420,234145800,25606586400,381133,12698,25268,795463,84496,494622,37559,25397,38655,"Congressional District (at Large) (114th Congress), Montana",30,00,2014
634290,315842,318448,567672,18766,7447,16502,47,7636,16220,52333,54310,27562,141200,0.4217,741,35.4,27163,57892,492934,149348,175445,432783,149256,26189,198127,2508,54863,41136,206422,2102,55456,43344,,,475202,2188,117901100,17225209000,230581,7301,9897,477272,45933,336055,9868,24244,27587,"Congressional District 1 (114th Congress), Nebraska",31,01,2014
641045,317870,323175,525423,62753,5013,18834,548,10371,18103,70608,56867,29037,149700,0.4433,835,34.0,30346,50308,465871,164049,177383,434702,145722,31661,201666,3306,44763,50891,212243,2599,45517,51992,,,476929,3358,133298800,18206705100,207055,9736,10204,470439,39466,335131,2250,37512,37890,"Congressional District 2 (114th Congress), Nebraska",31,02,2014
606168,302485,303683,567881,7101,5499,3556,461,12088,9582,67339,48359,25641,102800,0.4330,635,40.3,25420,67586,482338,136746,148770,434290,133135,15635,198311,3129,67960,27498,207932,2852,65001,32868,,,459989,1110,133280300,15206063500,237706,5744,14296,461657,42331,310263,32237,12877,14523,"Congressional District 3 (114th Congress), Nebraska",31,03,2014
693623,358199,335424,380587,80435,3718,56930,5124,140790,26039,305129,37724,19672,130200,0.4500,837,35.8,22156,73978,302363,151642,156890,510243,141542,15348,236416,8058,77681,24577,226869,7405,74128,24004,649065,342402,545186,9145,262183400,12336185500,146896,3009,13191,532704,42788,312493,1397,14743,38446,"Congressional District 1 (114th Congress), Nevada",32,01,2014
697426,353532,343894,580111,11261,15322,26846,4016,35423,24447,151742,53070,27250,211900,0.4440,872,38.7,27119,81785,490603,149631,177155,496768,161818,15337,238879,5896,68359,38407,236955,4250,60153,39268,,,549343,4790,177171600,18225720700,229310,8245,13451,540277,56765,323749,16115,18116,30918,"Congressional District 2 (114th Congress), Nevada",32,02,2014
734973,363521,371452,499767,48128,3894,95855,5664,39246,42419,124796,62934,32230,239500,0.4277,1170,38.5,32337,39262,457883,161242,182864,527616,153630,29234,252434,3738,58925,53591,261759,5227,66391,53215,692770,509957,583391,4327,111632900,22347849900,202883,11311,7059,566946,55334,359900,1391,27505,37091,"Congressional District 3 (114th Congress), Nevada",32,03,2014
713077,351492,361585,470799,103170,7569,42210,3749,53337,32243,208371,52378,23609,174100,0.4177,997,36.6,26573,63473,400313,170088,182774,502606,161997,20777,227215,8249,67644,27324,239071,8179,67533,31087,,,536880,3697,180762500,15561263200,166447,5336,8198,529275,57427,302679,4346,17482,33830,"Congressional District 4 (114th Congress), Nevada",32,04,2014
665612,327091,338521,621376,8785,757,17011,0,2589,15094,21583,67083,35431,242900,0.4421,1002,42.3,31686,53947,551079,129890,157894,489164,126569,31325,227027,2764,67388,49239,240664,2392,62286,56332,,,529880,2154,83771500,23164321900,249056,17234,8598,529424,49576,357444,2550,26625,38343,"Congressional District 1 (114th Congress), New Hampshire",33,01,2014
661201,327723,333478,618034,8224,1582,16963,437,3663,12298,20869,65933,33945,229400,0.4395,986,42.6,30981,51643,549099,126717,156780,487106,123019,33761,225743,3867,70015,46700,237870,1960,66304,49452,,,526817,3162,84208300,21857801500,245310,14460,9588,528717,49976,347403,4938,18253,34202,"Congressional District 2 (114th Congress), New Hampshire",33,02,2014
732232,353458,378774,493899,127865,1484,35983,266,58613,14122,95651,64464,31715,193500,0.4539,994,38.7,30573,36875,449532,156215,186150,521880,152222,33928,235441,3412,78596,46239,264137,4082,85725,54603,,,574772,3865,165798100,22572865700,194045,13130,9674,564794,37506,358214,614,25092,42463,"Congressional District 1 (114th Congress), New Jersey",34,01,2014
733973,361898,372075,546140,96040,1540,29207,79,36763,24204,116638,57765,29364,218100,0.4541,1016,41.4,26441,57644,477073,150991,173937,536158,155360,18577,244202,5737,86668,36118,262554,5617,89577,42746,,,575037,3461,189004200,20720487500,210745,12643,10195,571128,40419,337007,4048,17211,30913,"Congressional District 2 (114th Congress), New Jersey",34,02,2014
734551,360808,373743,590511,74738,601,26988,264,16184,25265,56903,75658,36702,252500,0.4294,1317,43.0,34495,36860,545567,148616,175220,537309,147024,28196,247637,3775,75016,55958,271007,3776,85857,61157,698422,614072,581709,2576,88482500,26385924500,232038,18507,9148,575981,55691,349936,1159,25932,36892,"Congressional District 3 (114th Congress), New Jersey",34,03,2014
748864,360275,388589,641020,49545,137,29091,286,12286,16499,73086,75857,39120,340200,0.4752,1272,41.6,35110,64462,571550,177997,196864,522680,135911,60953,237638,4107,61809,58814,270112,3777,74191,59751,,,582267,1833,139444800,28560190800,238352,30253,10016,567367,38065,347121,797,31304,40151,"Congressional District 4 (114th Congress), New Jersey",34,04,2014
745147,365777,379370,577207,40299,1006,81441,67,33204,11923,101389,91749,43366,395000,0.4449,1271,43.0,39523,25799,541513,161886,193831,530708,158079,35752,248165,2788,63860,67768,266792,3916,69797,75516,707691,519773,588792,2819,51241400,31705151900,214351,31756,6217,579519,32553,380671,1171,31404,49884,"Congressional District 5 (114th Congress), New Jersey",34,05,2014
748924,368337,380587,476633,76167,802,140501,367,39738,14716,162541,77184,34127,322500,0.4401,1320,36.9,34567,44183,417458,160392,202849,517770,170160,32689,244955,3290,69868,57080,257052,4073,71907,60351,704431,428277,573561,2429,116957800,24694383300,173410,15754,9515,582313,23900,367718,112,33641,53998,"Congressional District 6 (114th Congress), New Jersey",34,06,2014
