Total population,Male,Female,White alone,Black or African American alone,American Indian & Alaska Native alone,Asian alone,Native Hawaiian & Other Pacific Islander alone,Some other race alone, Two or more races,Hispanic or Latino (any race),Median household income,Per capita income,Median housing value,Gini index of income inequality,Median gross rent,Median age,Median income,Income in the past 12 months below poverty level,Income in the past 12 months at or above poverty level:,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Total enrolled in school,Total not enrolled in school,Total enrolled in public school,Total enrolled in private school,Males for population,"Males 12th grade, no diploma",Males Highschool diploma,Males Bachelor's degree,Females for population,"Females 12th grade, no diploma",Females Highschool diploma,Females Bachelor's degree,Total pop over 5,Speak only English,Males for population poverty,Males unemployed,Aggregate income deficit in the past 12 months,Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Household population,"$200,000 or more","Less than $10,000",Population for veterans,Veteran,Population for employment,"Agriculture, forestry, fishing and hunting, and mining","Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",NAME,state,congressional district,year
688250,345043,343207,324263,18469,3005,253987,1702,58101,28723,141745,85700,36665,639700,0.426,1447,36.5,36767,32701,286974,159132,193203,468162,157313,35890,230024,3661,36543,60863,236161,3405,37297,68473,642240,320621,533840,3221,103901900,24629144500,128513,15475,6491,523601,27572,325879,2158,16641,62531,"Congressional District 15 (111th Congress), California",06,15,2010
668121,335525,332596,317298,21324,6071,192797,2937,96505,31189,271732,73973,29205,508900,0.444,1333,34.5,28869,38598,274839,159863,188905,448466,161014,27891,212958,6817,41255,44796,218711,5750,44619,48526,618165,268975,514341,5505,137654800,18944523200,110462,9912,4566,501167,25492,301603,1682,14935,45144,"Congressional District 16 (111th Congress), California",06,16,2010
664462,337316,327146,517275,13759,8726,36662,2721,62131,23188,333348,55026,24790,412300,0.449,1193,33.4,22456,81563,413667,160075,198187,438737,178097,20090,205771,4312,42125,29941,208467,4051,38860,34422,,,482180,5218,164108000,15199958700,169498,9027,9095,490115,34002,284431,34751,12012,26195,"Congressional District 17 (111th Congress), California",06,17,2010
726204,369584,356620,489274,40647,9748,67647,2338,89024,27526,383041,39297,16341,143800,0.458,889,29.8,17478,117255,360674,212193,224036,466455,210289,13747,209024,7503,58196,14082,207601,7717,55194,16751,,,513651,10512,349284600,11403173300,146623,2911,11456,501172,30771,257707,25514,8251,18176,"Congressional District 18 (111th Congress), California",06,18,2010
759459,366673,392786,600929,27653,6722,40574,2520,45204,35857,286878,51553,22840,221200,0.447,936,35.3,23275,104177,485943,185647,214676,511522,194882,19794,229145,5516,56708,30850,254870,5506,63821,38698,,,570573,8000,266941100,16926143600,210271,6464,13458,562782,46002,308982,20567,18097,24942,"Congressional District 19 (111th Congress), California",06,19,2010
743070,398290,344780,448000,49300,7887,43832,1247,168460,24344,510972,33089,12112,143900,0.446,743,28.2,15329,131106,288966,227814,220577,481915,209937,10640,223150,7283,54015,11318,187077,4263,45448,12585,,,486072,11323,435419300,8372711600,119591,770,12253,499980,27073,243219,62199,5340,17746,"Congressional District 20 (111th Congress), California",06,20,2010
794639,397830,396809,560688,19463,9829,52823,234,120937,30665,414089,48113,19558,202800,0.452,824,30.5,20370,109270,445727,239442,248706,505745,231856,16850,225082,6668,51819,24923,234950,6168,53850,29836,,,568001,10764,311134700,15003056400,180733,4785,12419,544428,38069,308354,41286,14101,22735,"Congressional District 21 (111th Congress), California",06,21,2010
801417,411406,390011,594898,55723,8381,30051,750,78619,32995,256473,53626,24501,201400,0.448,905,33.9,25705,80232,497239,204096,234083,531399,206769,27314,252722,6480,69067,32314,247584,5034,60261,32231,,,582132,7054,222073100,18854082000,213416,7555,11986,583281,58476,322292,20765,16610,31475,"Congressional District 22 (111th Congress), California",06,22,2010
696273,347437,348836,540759,14980,5155,40491,390,73721,20777,342867,54049,25416,410900,0.481,1234,32.4,21745,92190,435861,151026,206086,462248,189451,16635,207279,4614,37330,30251,219919,3537,40142,39456,,,540868,6536,129136100,16939934000,181899,9224,10773,531853,37684,313183,30032,13913,35363,"Congressional District 23 (111th Congress), California",06,23,2010
687108,341688,345420,520472,9689,6934,44085,1033,77387,27508,202617,74103,34425,471800,0.446,1431,38.5,31989,35974,478013,164770,195529,467596,161531,33998,221224,5631,41013,46620,231409,4227,46824,50326,645343,467710,523138,3258,85969400,22983440000,192953,18168,7389,511296,50818,319483,7821,28349,40737,"Congressional District 24 (111th Congress), California",06,24,2010
